Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии @Москва;В наличии @Питер;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
Мобильные телефоны;;;;;;;;;;;Нужен телефон, чтобы позвонить? Или вам интересны все функции? Тогда вы определенно найдете здесь то, что вам нужно!;;1;;;;;;;mobiles;;;;;
!Apple;;;;;;;;;;;;;1;;;;;;;apple;;;;;
Apple iPhone 5S;;;RUB;24990;1;;;200;150;В iPhone 5s технологий стало ещё больше. Датчик идентификации по отпечатку пальца Touch ID. Процессор A7 с 64-битной архитектурой. Ещë более впечатляющая камера iSight. И сверхскоростная беспроводная связь.;<h3><strong>Опережая мысли.</strong></h3><div><br></div><div>iPhone 5s задуман с определённой целью. Продуман до мельчайших деталей. И создан в точности с задуманным. Он не просто демонстрирует возможности технологий, но и пользу, которую они способны принести. Это не только шаг вперёд, но и то, куда этот шаг должен быть сделан.</div><div><br></div><h3><strong>Самые совершенные технологии. Сконцентрированы здесь.</strong></h3><div><br></div><div>iPhone 5 стал примером того, как целый набор потрясающих технологий может быть реализован в удивительно тонком и лëгком корпусе. В iPhone 5s технологий стало ещё больше. Датчик идентификации по отпечатку пальца Touch ID. Процессор A7 с 64-битной архитектурой. Ещë более впечатляющая камера iSight. И сверхскоростная беспроводная связь.</div><div><br></div><h3><strong>iOS 7. Настоящее украшение iPhone 5s.</strong></h3><div><br></div><div>iPhone 5s — первый в мире 64-битный смартфон. iOS 7 была задумана и разработана специально под 64‑битную архитектуру. Поэтому она так же совершенна, как и сам iPhone.</div><div><br></div><h3><strong>Прекрасному телефону — прекрасный чехол.</strong></h3><div><br></div><div>Чехол iPhone 5s Case создан, чтобы идеально подходить iPhone. Он сделан из высококачественной кожи, прекрасно выглядит и приятен на ощупь. А мягкая подкладка из микроволокна, прекрасно подобранная по цвету, защищает корпус iPhone 5s.  </div>;new;1;Мобильные телефоны;Apple,iPhone;;Apple iPhone 5;Apple,iPhone,мобильный телефон;"смартфон на платформе iOS
сенсорный экран мультитач (емкостный)
диагональ экрана 4"", разрешение 640x1136
камера 8 МП, светодиодная вспышка, автофокус
память 64 Гб, без слота для карт памяти
поддержка Bluetooth, Wi-Fi, 3G, LTE, GPS, ГЛОНАСС
вес 112 г, ШxВxТ 58.60x123.80x7.60 мм, акк. 1560 мАч";iphone-5s;<{серый,серебряный,золотой}>;<{16Gb,32Gb,64Gb}>;;https://demo1-ru.webasyst.com/wa-data/public/shop/products/10/02/210/images/832/832.750.jpg;https://demo1-ru.webasyst.com/wa-data/public/shop/products/10/02/210/images/833/833.750.jpg
Apple iPhone 5S;серый, 32Gb;;;41990;1;;;12;8;;;;;;;;;;;;серый;32Gb;;;
Apple iPhone 5S;золотой, 64Gb;;;46990;1;;;10;15;;;;;;;;;;;;золотой;64Gb;;;
Сноуборды;;;;;;;;;;;Самые популярные модели сезона 12—13 по низким ценам.;;1;;;;;;;snowboards;;;;;
!Burton;;;;;;;;;;;;;1;;;;;;;burton;;;;;
Burton Custom X;152;custom-x-152;RUB;19800;1;;;9;4;Фристайловый сноуборд профессионального уровня, готовый к самым жестким испытаниям как в сноу-парке, так и на склоне горы. Лучшая модель сезона 2012—2013.;"Custom X можно встретить в таких местах, как Олимпиада или этап кубка мира по сноуборду или на ледяном склоне в Ля Грав. Самое главное, что отличает эту доску от других - это то, что выбирают её эксперты и знатоки своего дела.<br>Система закладных ICS. <br>Сердечник - Dragonfly c Multizone EGD. <br>Стекловолокно - Vaporskin c Triax Fiberglass, <br>Lightning Bolts - направленные от закладных к кантам эти усиливающие вставки моментально передают любое ваше усилие от креплений кантам с невероятной четкостью., <br>Carbon I-Beam. <br>Squeezebox&nbsp; - делает доску еще более стабильной и управляемой, <br>Frostbite Edges -&nbsp; канты в зоне креплений на пол-миллиметра шире, для невероятного контроля, даже на ледяной поверхности. При этом общая жесткость доски остается неизменной, <br>Pro-Tip - для максимальной мобильности<br>Infinite Ride - эксклюзивная технология Burton, которая позволяет усилить прочность и «стреляющие» свойства доски. В результате, доска не меняет своих свойств и не теряет прочности сезон за сезоном.";;1;Сноуборды;сноуборды,burton;;Сноуборд Burton Custom X;Сноуборд,Burton X,спортивный инвентарь;Фристайловый сноуборд профессионального уровня, готовый к самым жестким испытаниям как в сноу-парке, так и на склоне горы.;custom-x;;;{152,156,158,160,164,159W,162W,164W};https://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/222/222.750x0.jpg;https://demo-ru.webasyst.com/wa-data/public/shop/products/12/00/12/images/223/223.750x0.jpg
Burton Custom X;156;custom-x-156;RUB;20000;1;;;4;12;;;;;;;;;;;custom-x;;;;;
Burton Custom X;158;custom-x-158;RUB;20200;1;;;8;3;;;;;;;;;;;custom-x;;;;;
